,B1-1N,B1-1S,B1-3N,B1-3S,B1-5N,B1-5S,B1-7N,B1-7S,B4-1N,B4-1S,B4-3N,B4-3S,B4-5N,B4-5S,B4-7N,B4-7S
2017-03-04,"[215.0, 3.0]","[231.0, 1.0]","[77.0, 3.0]","[78.0, 1.0]","[149.0, 1.0]","[146.0, 1.0]","[164.0, 3.0]","[140.0, 3.0]","[260.0, 2.0]","[266.0, 2.0]","[201.5, 2.0]","[154.5, 2.0]","[33.0, 3.0]","[49.5, 1.0]","[13.0, 3.0]","[21.0, 1.0]"
2017-03-05,"[215.0, 3.0]","[232.0, 1.0]","[78.0, 3.0]","[78.0, 1.0]","[150.0, 1.0]","[147.0, 1.0]","[165.0, 3.0]","[141.5, 3.0]","[261.0, 2.0]","[267.0, 2.0]","[202.5, 2.0]","[153.0, 2.0]","[34.0, 3.0]","[51.0, 1.0]","[14.0, 3.0]","[21.0, 1.0]"
2017-03-06,"[216.0, 3.0]","[233.0, 1.0]","[79.0, 3.0]","[79.0, 1.0]","[151.0, 1.0]","[148.0, 1.0]","[166.0, 3.0]","[144.0, 3.0]","[262.0, 2.0]","[268.0, 2.0]","[203.5, 2.0]","[154.0, 2.0]","[35.0, 3.0]","[52.0, 1.0]","[15.0, 3.0]","[22.0, 1.0]"
2017-03-07,"[217.0, 3.0]","[234.0, 1.0]","[80.0, 3.0]","[80.0, 1.0]","[152.0, 1.0]","[149.0, 1.0]","[167.0, 3.0]","[145.0, 3.0]","[263.0, 2.0]","[269.0, 2.0]","[197.0, 2.0]","[158.0, 2.0]","[37.0, 3.0]","[53.0, 1.0]","[16.0, 2.0]","[22.0, 1.0]"
2017-03-08,"[219.0, 3.0]","[235.0, 1.0]","[81.0, 3.0]","[81.5, 1.0]","[153.0, 1.0]","[150.0, 1.0]","[168.0, 3.0]","[146.0, 3.0]","[264.0, 2.0]","[270.0, 2.0]","[198.0, 2.0]","[147.0, 2.0]","[38.0, 3.0]","[54.0, 1.0]","[17.0, 2.0]","[23.0, 1.0]"
2017-03-09,"[220.0, 3.0]","[236.0, 1.0]","[82.5, 3.0]","[82.5, 1.0]","[154.0, 1.0]","[151.0, 1.0]","[169.0, 3.0]","[147.0, 3.0]","[265.0, 2.0]","[271.0, 2.0]","[199.0, 2.0]","[148.0, 2.0]","[39.0, 3.0]","[55.0, 1.0]","[17.5, 2.0]","[24.0, 1.0]"
2017-03-10,"[221.0, 3.0]","[237.0, 1.0]","[83.5, 3.0]","[83.5, 1.0]","[155.0, 1.0]","[152.0, 1.0]","[168.0, 3.0]","[149.0, 3.0]","[266.0, 2.0]","[269.5, 2.0]","[200.0, 2.0]","[149.0, 2.0]","[40.0, 3.0]","[56.0, 1.0]","[18.5, 2.0]","[25.0, 1.0]"
2017-03-11,"[222.0, 3.0]","[243.0, 1.0]","[84.5, 3.0]","[84.5, 1.0]","[156.0, 1.0]","[153.0, 1.0]","[171.0, 3.0]","[151.5, 3.0]","[267.0, 2.0]","[268.0, 2.0]","[200.0, 2.0]","[149.5, 2.0]","[41.0, 3.0]","[57.0, 1.0]","[19.0, 2.5]","[25.0, 1.0]"
2017-03-12,"[223.0, 3.0]","[244.0, 1.0]","[85.0, 3.0]","[86.0, 1.0]","[157.0, 1.0]","[154.0, 1.0]","[170.0, 3.0]","[152.0, 3.0]","[268.0, 2.0]","[269.0, 2.0]","[201.0, 2.0]","[150.5, 2.0]","[42.0, 3.0]","[58.0, 1.0]","[20.0, 2.5]","[26.0, 1.0]"
2017-03-13,"[224.0, 3.0]","[245.0, 1.0]","[86.0, 3.0]","[87.0, 1.0]","[158.0, 1.0]","[155.0, 1.0]","[171.0, 3.0]","[153.0, 3.0]","[266.0, 2.0]","[275.0, 2.0]","[202.0, 2.0]","[151.0, 2.0]","[43.0, 3.0]","[59.0, 1.0]","[21.0, 2.0]","[27.0, 1.0]"
2017-03-14,"[225.0, 3.0]","[246.0, 1.0]","[87.0, 3.0]","[88.0, 1.0]","[159.0, 1.0]","[156.0, 1.0]","[172.0, 3.0]","[154.0, 3.0]","[267.0, 2.0]","[276.0, 2.0]","[203.0, 2.0]","[152.5, 2.0]","[44.5, 3.0]","[60.0, 1.0]","[22.0, 2.0]","[28.0, 1.0]"
2017-03-15,"[226.0, 3.0]","[248.5, 1.0]","[88.0, 3.0]","[89.0, 1.0]","[160.0, 1.0]","[157.0, 1.0]","[173.0, 3.0]","[155.5, 3.0]","[268.0, 2.0]","[281.0, 2.0]","[205.0, 2.0]","[154.0, 2.0]","[45.5, 3.0]","[61.0, 1.0]","[23.0, 2.0]","[29.0, 1.0]"
2017-03-16,"[227.0, 3.0]","[249.5, 1.0]","[89.0, 3.0]","[90.0, 1.0]","[161.0, 1.0]","[158.0, 1.0]","[174.0, 3.0]","[156.5, 3.0]","[269.0, 2.0]","[282.0, 2.0]","[206.0, 2.0]","[155.0, 2.0]","[46.5, 3.0]","[62.0, 1.0]","[23.0, 3.0]","[29.0, 1.0]"
2017-03-17,"[228.0, 3.0]","[249.0, 1.0]","[90.0, 3.0]","[91.0, 1.0]","[161.0, 1.0]","[159.0, 1.0]","[175.0, 3.0]","[157.5, 3.0]","[270.0, 2.0]","[283.0, 2.0]","[207.0, 2.0]","[156.0, 2.0]","[47.5, 3.0]","[63.0, 1.0]","[24.0, 3.0]","[30.0, 1.0]"
2017-03-18,"[228.5, 3.0]","[250.0, 1.0]","[91.0, 3.0]","[92.0, 1.0]","[162.0, 1.0]","[160.0, 1.0]","[176.0, 3.0]","[158.5, 3.0]","[271.0, 2.0]","[284.0, 2.0]","[208.0, 2.0]","[157.0, 2.0]","[48.5, 3.0]","[64.0, 1.0]","[22.5, 3.0]","[30.0, 1.0]"
2017-03-19,"[229.5, 3.0]","[251.0, 1.0]","[92.5, 3.0]","[93.0, 1.0]","[163.0, 1.0]","[161.0, 1.0]","[177.0, 3.0]","[159.5, 3.0]","[272.0, 2.0]","[285.0, 2.0]","[210.5, 2.0]","[158.0, 2.0]","[49.5, 3.0]","[65.0, 1.0]","[23.0, 3.0]","[31.0, 1.0]"
2017-03-20,"[230.5, 3.0]","[252.0, 1.0]","[93.5, 3.0]","[94.0, 1.0]","[164.0, 1.0]","[162.0, 1.0]","[178.0, 3.0]","[160.5, 3.0]","[273.0, 2.0]","[286.0, 2.0]","[211.5, 2.0]","[159.0, 2.0]","[51.0, 3.0]","[66.0, 1.0]","[24.0, 3.0]","[30.0, 1.0]"
2017-03-21,"[231.5, 3.0]","[253.0, 1.0]","[94.5, 3.0]","[95.0, 1.0]","[165.0, 1.0]","[163.0, 1.0]","[179.0, 3.0]","[161.5, 3.0]","[274.0, 2.0]","[287.0, 2.0]","[212.5, 2.0]","[159.0, 2.0]","[51.5, 3.0]","[67.0, 1.0]","[25.0, 3.0]","[31.0, 1.0]"
2017-03-22,"[218.0, 3.0]","[242.0, 2.0]","[95.5, 3.0]","[96.5, 1.0]","[166.0, 1.0]","[164.0, 1.0]","[188.0, 3.0]","[154.0, 2.5]","[246.5, 2.0]","[270.0, 2.0]","[212.0, 2.0]","[158.0, 2.0]","[55.0, 3.0]","[68.0, 1.0]","[23.5, 3.0]","[31.0, 1.0]"
2017-03-23,"[219.0, 3.0]","[243.0, 2.0]","[102.5, 3.0]","[97.5, 1.0]","[167.0, 1.0]","[165.0, 1.0]",,"[170.0, 3.0]","[247.5, 2.0]","[271.0, 2.0]","[213.0, 2.0]","[158.5, 2.0]","[56.0, 3.0]","[69.0, 1.0]","[24.5, 3.0]","[32.0, 1.0]"
2017-03-24,"[221.0, 3.0]","[244.0, 2.0]","[103.5, 3.0]","[98.5, 1.0]","[169.0, 1.0]","[166.0, 1.0]",,"[171.0, 3.0]","[258.0, 2.0]","[272.0, 2.0]","[214.0, 2.0]","[163.0, 2.0]","[57.0, 3.0]","[70.0, 1.0]","[25.5, 3.0]","[33.0, 1.0]"
2017-03-25,"[222.0, 3.0]","[244.5, 2.0]","[104.0, 3.0]","[99.5, 1.0]","[169.0, 1.0]","[167.0, 1.0]",,"[172.0, 3.0]","[259.5, 2.0]","[273.0, 2.0]","[215.0, 2.0]","[160.5, 2.0]","[58.0, 3.0]","[71.0, 1.0]","[24.0, 3.0]","[32.5, 1.0]"
2017-03-26,"[223.0, 3.0]","[246.0, 2.0]","[105.0, 3.0]","[100.5, 1.0]","[170.0, 1.0]","[168.0, 1.0]",,"[173.0, 3.0]","[260.5, 2.0]","[274.0, 2.0]","[216.0, 2.0]","[163.5, 2.0]","[59.0, 3.0]","[72.0, 1.0]","[25.0, 3.0]","[33.5, 1.0]"
2017-03-27,"[224.0, 3.0]","[247.0, 2.0]","[106.0, 3.0]","[101.5, 1.0]","[171.0, 1.0]","[169.0, 1.0]",,"[174.0, 3.0]","[261.0, 2.0]","[275.0, 2.0]","[217.0, 2.0]","[163.0, 2.0]","[60.0, 3.0]","[73.0, 1.0]","[26.0, 3.0]","[34.5, 1.0]"
2017-03-28,"[225.0, 3.0]","[248.0, 2.0]","[107.0, 3.0]","[102.5, 1.0]","[172.0, 1.0]","[170.0, 1.0]",,"[175.0, 3.0]","[262.0, 2.0]","[276.0, 2.0]","[218.0, 2.0]","[163.5, 2.0]","[61.0, 3.0]","[74.0, 1.0]","[27.0, 3.0]","[35.5, 1.0]"
2017-03-29,"[223.0, 3.0]","[247.0, 2.0]","[108.0, 3.0]","[103.5, 1.0]","[173.0, 1.0]","[171.0, 1.0]","[15.0, 1.0]","[176.0, 3.0]","[263.0, 2.0]","[266.0, 2.0]","[217.0, 2.0]","[154.5, 2.0]","[62.0, 3.0]","[75.0, 1.0]","[27.5, 3.0]","[38.0, 1.0]"
2017-03-30,"[224.0, 3.0]","[248.5, 2.0]","[109.0, 3.0]","[104.5, 1.0]","[174.0, 1.0]","[172.0, 1.0]","[16.0, 1.0]","[177.0, 3.0]","[264.0, 2.0]","[267.0, 2.0]","[218.0, 2.0]","[156.0, 2.0]","[63.0, 3.0]","[76.0, 1.0]","[28.5, 3.0]","[39.0, 1.0]"
2017-03-31,"[225.0, 3.0]","[250.0, 2.0]","[110.0, 3.0]","[105.5, 1.0]","[175.0, 1.0]","[173.0, 1.0]","[17.0, 1.0]","[178.0, 3.0]","[265.0, 2.0]","[268.0, 2.0]","[219.0, 2.0]","[157.0, 2.0]","[64.0, 3.0]","[77.0, 1.0]","[29.5, 3.0]","[40.0, 1.0]"
2017-04-01,"[226.0, 3.0]","[251.5, 2.0]","[111.0, 3.0]","[108.0, 1.0]","[176.0, 1.0]","[174.0, 1.0]","[20.0, 1.0]","[179.0, 3.0]","[266.0, 2.0]","[268.5, 2.0]","[220.0, 2.0]","[157.0, 2.0]","[64.5, 3.0]","[78.0, 1.0]","[30.0, 3.0]","[41.0, 1.0]"
2017-04-02,"[227.0, 3.0]","[252.5, 2.0]","[112.0, 3.0]","[109.0, 1.0]","[177.0, 1.0]","[175.0, 1.0]","[20.0, 1.0]","[180.0, 3.0]","[267.0, 2.0]","[269.5, 2.0]","[221.0, 2.0]","[158.0, 2.0]","[65.5, 3.0]","[79.0, 1.0]","[31.0, 3.0]","[42.0, 1.0]"
2017-04-03,"[224.0, 3.0]","[253.5, 2.0]","[113.0, 3.0]","[110.0, 1.0]","[178.0, 1.0]","[176.0, 1.0]","[21.0, 1.0]","[181.0, 3.0]","[266.5, 2.0]","[270.5, 2.0]","[222.0, 2.0]","[159.0, 2.0]","[67.0, 3.0]","[80.0, 1.0]","[32.0, 3.0]","[43.0, 1.0]"
2017-04-04,"[225.0, 3.0]","[254.5, 2.0]","[114.0, 3.0]","[111.0, 1.0]","[179.0, 1.0]","[177.0, 1.0]","[18.0, 1.0]","[182.0, 3.0]","[267.5, 2.0]","[271.5, 2.0]","[223.0, 2.0]","[160.0, 2.0]","[68.0, 3.0]","[81.0, 1.0]","[33.0, 3.0]","[44.0, 1.0]"
2017-04-05,"[230.0, 3.0]","[255.5, 2.0]","[116.0, 3.0]","[112.0, 1.0]","[180.0, 1.0]","[178.0, 1.0]","[19.0, 1.0]","[183.0, 3.0]","[268.5, 2.0]","[272.5, 2.0]","[225.0, 2.0]","[157.5, 2.0]","[71.0, 3.0]","[82.0, 1.0]","[34.0, 3.0]","[45.0, 1.0]"
2017-04-06,"[231.0, 3.0]","[256.5, 2.0]","[117.0, 3.0]","[113.0, 1.0]","[181.0, 1.0]","[179.0, 1.0]","[20.0, 1.0]","[184.0, 3.0]","[254.0, 2.0]","[273.0, 2.0]","[226.0, 2.0]","[158.5, 2.0]","[72.0, 3.0]","[83.0, 1.0]","[35.0, 3.0]","[46.0, 1.0]"
2017-04-07,"[232.0, 3.0]","[258.0, 2.0]","[118.0, 3.0]","[114.0, 1.0]","[182.0, 1.0]","[180.0, 1.0]","[20.0, 1.0]","[186.0, 3.0]","[255.0, 2.0]","[272.0, 2.0]","[227.0, 2.0]","[160.0, 2.0]","[73.0, 3.0]","[84.0, 1.0]","[35.0, 3.0]","[47.0, 1.0]"
2017-04-08,"[233.0, 3.0]","[259.0, 2.0]","[119.0, 3.0]","[115.0, 1.0]","[183.0, 1.0]","[181.0, 1.0]","[21.0, 1.0]","[187.0, 3.0]","[256.0, 2.0]","[273.0, 2.0]","[228.0, 2.0]","[161.0, 2.0]","[74.0, 3.0]","[85.0, 1.0]","[36.0, 3.0]","[48.0, 1.0]"
2017-04-09,"[234.0, 3.0]","[260.0, 2.0]","[119.0, 3.0]","[116.0, 1.0]","[184.0, 1.0]","[181.5, 1.0]","[20.0, 1.0]","[187.0, 3.0]","[257.0, 2.0]","[272.0, 2.0]","[229.0, 2.0]","[161.5, 2.0]","[75.0, 3.0]","[86.0, 1.0]","[36.0, 3.0]","[49.0, 1.0]"
2017-04-10,"[235.0, 3.0]","[261.0, 2.0]","[120.0, 3.0]","[117.0, 1.0]","[184.0, 1.0]","[182.5, 1.0]","[21.0, 1.0]","[188.0, 3.0]","[258.0, 2.0]","[273.0, 2.0]","[229.0, 2.0]","[162.5, 2.0]","[76.0, 3.0]","[87.0, 1.0]","[37.0, 3.0]","[50.0, 1.0]"
2017-04-11,"[236.0, 3.0]","[265.0, 2.0]","[121.0, 3.0]","[118.0, 1.0]","[185.0, 1.0]","[183.5, 1.0]","[21.0, 1.0]","[189.0, 3.0]","[259.0, 2.0]","[274.0, 2.0]","[230.0, 2.0]","[161.0, 2.0]","[77.0, 3.0]","[88.0, 1.0]","[38.0, 3.0]","[51.0, 1.0]"
2017-04-12,"[237.0, 3.0]","[263.0, 2.0]","[122.0, 3.0]","[119.0, 1.0]","[186.0, 1.0]","[185.0, 1.0]","[22.0, 1.0]","[190.0, 3.0]","[261.0, 2.0]","[275.0, 2.0]","[231.0, 2.0]","[162.0, 2.0]","[78.0, 3.0]","[89.0, 1.0]","[39.0, 3.0]","[52.0, 1.0]"
2017-04-13,"[238.0, 3.0]","[267.0, 2.0]","[123.0, 3.0]","[120.0, 1.0]","[187.0, 1.0]","[186.0, 1.0]","[22.0, 1.0]","[192.0, 3.0]","[262.0, 2.0]","[276.0, 2.0]","[233.0, 2.0]","[160.0, 2.0]","[79.0, 3.0]","[90.0, 1.0]","[40.0, 3.0]","[53.0, 1.0]"
2017-04-14,"[239.0, 3.0]","[268.0, 2.0]","[124.0, 3.0]","[121.0, 1.0]","[188.0, 1.0]","[187.0, 1.0]","[23.0, 1.0]","[193.0, 3.0]","[263.0, 2.0]","[277.0, 2.0]","[234.0, 2.0]","[161.0, 2.0]","[80.0, 3.0]","[91.0, 1.0]","[41.0, 3.0]","[54.0, 1.0]"
2017-04-15,"[240.0, 3.0]","[269.0, 2.0]","[125.5, 3.0]","[122.0, 1.0]","[189.0, 1.0]","[188.0, 1.0]","[22.0, 1.0]","[194.0, 3.0]","[264.0, 2.0]","[278.0, 2.0]","[235.0, 2.0]","[162.0, 2.0]","[81.0, 3.0]","[92.0, 1.0]","[41.0, 3.0]","[55.0, 1.0]"
2017-04-16,"[241.0, 3.0]","[273.0, 2.0]","[126.5, 3.0]","[123.0, 1.0]","[190.0, 1.0]","[189.0, 1.0]","[23.0, 1.0]","[196.0, 3.0]","[265.0, 2.0]","[279.0, 2.0]","[236.0, 2.0]","[163.0, 2.0]","[82.0, 3.0]","[93.0, 1.0]","[42.0, 3.0]","[56.0, 1.0]"
2017-04-17,"[245.0, 3.0]","[274.5, 2.0]","[127.5, 3.0]","[124.0, 1.0]","[191.0, 1.0]","[190.0, 1.0]","[24.0, 1.0]","[197.0, 3.0]","[280.5, 2.0]","[280.0, 2.0]","[238.0, 2.0]","[165.0, 2.0]","[83.0, 3.0]","[94.0, 1.0]","[42.0, 3.0]","[57.0, 1.0]"
2017-04-18,"[248.0, 3.0]","[275.5, 2.0]","[128.5, 3.0]","[125.0, 1.0]","[192.0, 1.0]","[191.0, 1.0]","[25.0, 1.0]","[198.0, 3.0]","[281.5, 2.0]","[281.0, 2.0]","[239.0, 2.0]","[151.5, 2.0]","[84.0, 3.0]","[95.0, 1.0]","[44.0, 3.0]","[58.0, 1.0]"
2017-04-19,"[251.0, 3.0]","[276.5, 2.0]","[132.0, 3.0]","[126.0, 1.0]","[193.0, 1.0]","[192.0, 1.0]","[26.0, 1.0]","[199.0, 3.0]","[284.0, 2.0]","[282.0, 2.0]","[241.5, 2.0]","[145.0, 2.0]","[86.0, 3.0]","[96.0, 1.0]","[44.0, 3.0]","[59.0, 1.0]"
2017-04-20,"[252.0, 3.0]","[278.0, 2.0]","[133.0, 3.0]","[127.0, 1.0]","[194.0, 1.0]","[193.0, 1.0]","[26.5, 1.0]","[200.0, 3.0]","[283.5, 2.0]","[283.0, 2.0]","[242.5, 2.0]","[146.0, 2.0]","[87.0, 3.0]","[97.0, 1.0]","[45.0, 3.0]","[60.0, 1.0]"
2017-04-21,"[253.0, 3.0]","[279.0, 2.0]","[134.0, 3.0]","[128.0, 1.0]","[195.0, 1.0]","[194.0, 1.0]","[28.0, 1.0]","[201.0, 3.0]","[284.5, 2.0]","[284.0, 2.0]","[243.5, 2.0]","[147.0, 2.0]","[88.0, 3.0]","[98.0, 1.0]","[44.0, 3.0]","[61.0, 1.0]"
2017-04-22,"[254.0, 3.0]","[280.0, 2.0]","[135.0, 3.0]","[129.0, 1.0]","[197.0, 1.0]","[195.0, 1.0]","[29.0, 1.0]","[207.0, 3.0]","[285.5, 2.0]","[285.0, 2.0]","[244.5, 2.0]","[150.0, 2.0]","[88.5, 3.0]","[99.0, 1.0]","[45.5, 3.0]","[61.5, 1.0]"
2017-04-23,"[251.0, 3.0]","[281.0, 2.0]","[135.0, 3.0]","[130.0, 1.0]","[198.0, 1.0]","[196.0, 1.0]","[29.0, 1.0]","[208.0, 3.0]","[288.0, 2.0]","[290.0, 2.0]","[244.0, 2.0]","[154.0, 2.0]","[89.0, 3.0]","[100.0, 1.0]","[44.0, 3.0]","[62.5, 1.0]"
2017-04-24,"[252.0, 3.0]","[282.0, 2.0]","[137.0, 3.0]","[131.0, 1.0]","[199.0, 1.0]","[197.0, 1.0]","[30.0, 1.0]","[209.0, 3.0]","[289.0, 2.0]","[291.0, 2.0]","[245.0, 2.0]","[155.0, 2.0]","[90.0, 3.0]","[101.0, 1.0]","[44.0, 3.0]","[63.5, 1.0]"
2017-04-25,"[251.0, 3.0]","[283.0, 2.0]","[137.0, 3.0]","[132.0, 1.0]","[200.0, 1.0]","[197.5, 1.0]","[32.0, 1.0]","[210.0, 3.0]","[288.5, 2.0]","[292.0, 2.0]","[246.0, 2.0]","[156.0, 2.0]","[91.0, 3.0]","[102.0, 1.0]","[44.5, 3.0]","[64.5, 1.0]"
2017-04-26,"[251.5, 3.0]","[283.0, 2.0]","[138.0, 3.0]","[133.0, 1.0]","[201.0, 1.0]","[198.5, 1.0]","[32.5, 1.0]","[211.0, 3.0]","[281.5, 2.0]","[294.0, 2.0]","[247.0, 2.0]","[155.5, 2.0]","[92.0, 3.0]","[103.0, 1.0]","[45.5, 3.0]","[65.5, 1.0]"
2017-04-27,"[252.5, 3.0]","[284.0, 2.0]","[139.0, 3.0]","[134.0, 1.0]","[202.0, 1.0]","[199.5, 1.0]","[33.5, 1.0]","[212.0, 3.0]","[282.5, 2.0]","[295.0, 2.0]","[248.0, 2.0]","[156.5, 2.0]","[93.0, 3.0]","[104.0, 1.0]","[46.5, 3.0]","[66.5, 1.0]"
2017-04-28,"[253.5, 3.0]","[285.0, 2.0]","[141.0, 3.0]","[135.0, 1.0]","[203.0, 1.0]","[200.5, 1.0]","[34.0, 1.0]","[213.0, 3.0]","[283.5, 2.0]","[296.0, 2.0]","[248.0, 2.0]","[155.0, 2.0]","[94.0, 3.0]","[105.0, 1.0]","[46.0, 3.0]","[67.5, 1.0]"
2017-04-29,"[254.5, 3.0]","[286.0, 2.0]","[142.0, 3.0]","[136.0, 1.0]","[204.0, 1.0]","[201.5, 1.0]","[35.0, 1.0]","[214.0, 3.0]","[284.5, 2.0]","[297.0, 2.0]","[249.0, 2.0]","[156.0, 2.0]","[95.0, 3.0]","[106.0, 1.0]","[47.0, 3.0]","[68.5, 1.0]"
2017-04-30,"[253.0, 3.0]","[287.0, 2.0]","[143.0, 3.0]","[137.0, 1.0]","[205.0, 1.0]","[202.5, 1.0]","[36.0, 1.0]","[215.0, 3.0]","[292.0, 2.0]","[298.0, 2.0]","[249.5, 2.0]","[163.0, 2.0]","[96.0, 3.0]","[107.0, 1.0]","[48.0, 3.0]","[69.0, 1.0]"
2017-05-01,"[254.0, 3.0]","[288.0, 2.0]","[144.0, 3.0]","[138.0, 1.0]","[206.0, 1.0]","[203.5, 1.0]","[37.0, 1.0]","[216.0, 3.0]","[293.0, 2.0]","[304.5, 2.0]","[250.5, 2.0]","[164.0, 2.0]","[97.0, 3.0]","[108.0, 1.0]","[49.0, 2.0]","[70.0, 1.0]"
2017-05-02,"[253.0, 3.0]","[289.0, 2.0]","[145.0, 3.0]","[139.0, 1.0]","[207.0, 1.0]","[204.5, 1.0]","[38.0, 1.0]","[217.0, 3.0]","[281.0, 2.0]","[305.5, 2.0]","[251.5, 2.0]","[165.0, 2.0]","[98.0, 3.0]","[109.0, 1.0]","[50.0, 2.0]","[71.0, 1.0]"
2017-05-03,"[254.0, 3.0]","[290.0, 2.0]","[146.0, 3.0]","[140.0, 1.0]","[208.0, 1.0]","[205.5, 1.0]","[38.0, 1.0]","[219.5, 3.0]","[282.0, 2.0]","[306.5, 2.0]","[252.5, 2.0]","[168.5, 2.0]","[99.0, 3.0]","[110.0, 1.0]","[50.0, 2.5]","[72.0, 1.0]"
2017-05-04,"[250.0, 3.0]","[291.0, 2.0]","[147.0, 3.0]","[141.0, 1.0]","[209.0, 1.0]","[206.5, 1.0]","[39.0, 1.0]","[219.0, 2.0]","[283.0, 2.0]","[307.5, 2.0]","[253.5, 2.0]","[176.0, 2.0]","[102.0, 3.0]","[111.0, 1.0]","[52.0, 2.0]","[73.0, 1.0]"
2017-05-05,"[250.0, 3.0]","[292.0, 2.0]","[148.0, 3.0]","[142.0, 1.0]","[210.0, 1.0]","[208.0, 1.0]","[40.0, 1.0]","[220.0, 2.0]","[284.0, 2.0]","[308.5, 2.0]","[255.0, 2.0]","[170.0, 2.0]","[104.0, 3.0]","[112.0, 1.0]","[53.0, 2.0]","[74.5, 1.0]"
2017-05-06,"[253.0, 2.0]","[293.0, 2.0]","[149.0, 3.0]","[143.0, 1.0]","[211.0, 1.0]","[209.0, 1.0]","[41.0, 1.0]","[217.5, 2.5]","[285.0, 2.0]","[309.5, 2.0]","[256.0, 2.0]","[174.5, 2.0]","[105.0, 3.0]","[113.0, 1.0]","[54.0, 2.0]","[75.0, 1.0]"
2017-05-07,"[254.0, 2.0]","[294.0, 2.0]","[149.0, 3.0]","[144.0, 1.0]","[212.0, 1.0]","[210.0, 1.0]","[42.0, 1.0]","[218.5, 2.5]","[286.5, 2.0]","[305.0, 2.0]","[241.0, 2.0]","[179.5, 2.0]","[106.0, 3.0]","[114.0, 1.0]","[55.0, 2.0]","[76.0, 1.0]"
2017-05-08,"[263.5, 2.0]","[295.5, 2.0]","[148.5, 3.0]","[145.0, 1.0]","[213.0, 1.0]","[211.0, 1.0]","[43.0, 1.0]","[219.5, 2.5]","[294.0, 2.0]","[306.0, 2.0]","[232.0, 2.0]","[180.0, 2.0]","[108.0, 3.0]","[115.0, 1.0]","[56.0, 2.0]","[77.0, 1.0]"
2017-05-09,"[264.5, 2.0]","[296.5, 2.0]","[149.5, 3.0]","[146.0, 1.0]","[214.0, 1.0]","[212.0, 1.0]","[44.0, 1.0]","[224.0, 2.0]","[295.0, 2.0]","[307.0, 2.0]","[240.0, 2.0]","[181.0, 2.0]","[109.0, 3.0]","[116.0, 1.0]","[57.0, 2.0]","[79.0, 1.0]"
2017-05-10,"[251.5, 2.0]","[297.5, 2.0]","[150.5, 3.0]","[147.0, 1.0]","[201.0, 1.0]","[213.0, 1.0]","[44.0, 1.0]","[225.0, 2.0]","[296.0, 2.0]","[308.0, 2.0]","[241.0, 2.0]","[182.5, 2.0]","[110.0, 3.0]","[117.0, 1.0]","[57.5, 2.0]","[80.0, 1.0]"
2017-05-11,"[252.5, 2.0]","[298.0, 2.0]","[152.0, 3.0]","[148.0, 1.0]","[209.0, 1.0]",,"[45.0, 1.0]","[226.0, 2.0]","[290.5, 2.0]","[281.5, 1.5]","[242.0, 2.0]","[183.0, 2.0]","[111.0, 3.0]","[118.0, 1.0]","[58.0, 2.0]","[80.5, 1.0]"
2017-05-12,"[253.5, 2.0]","[299.0, 2.0]","[153.0, 3.0]","[149.0, 1.0]","[210.0, 1.0]",,"[45.0, 1.0]","[227.0, 2.0]","[291.5, 2.0]","[282.5, 1.5]","[243.0, 2.0]","[184.0, 2.0]","[112.0, 3.0]","[119.0, 1.0]","[58.0, 2.0]","[81.5, 1.0]"
2017-05-13,"[255.0, 2.0]","[300.0, 2.0]","[154.0, 3.0]","[150.0, 1.0]","[211.0, 1.0]",,"[46.5, 1.0]","[228.0, 2.0]","[292.0, 2.0]","[284.5, 1.0]","[233.5, 2.0]","[194.0, 2.0]","[113.0, 3.0]","[120.0, 1.0]","[59.0, 2.0]","[82.5, 1.0]"
