,B1-1N,B1-1S,B1-3N,B1-3S,B1-5N,B1-5S,B1-7N,B1-7S,B4-1N,B4-1S,B4-3N,B4-3S,B4-5N,B4-5S,B4-7N,B4-7S
2017-05-14,"[256.0, 2.0]","[301.0, 2.0]","[155.0, 3.0]","[151.0, 1.0]","[212.0, 1.0]",,"[47.0, 1.0]","[229.0, 2.0]","[293.0, 2.0]","[285.5, 1.0]","[234.5, 2.0]","[195.0, 2.0]","[113.5, 3.0]","[121.0, 1.0]","[60.0, 2.0]","[83.5, 1.0]"
2017-05-15,"[257.0, 2.0]","[302.0, 2.0]","[156.0, 3.0]","[152.0, 1.0]","[213.0, 1.0]",,"[48.0, 1.0]","[230.0, 2.0]","[294.0, 2.0]","[286.5, 1.0]","[232.0, 2.0]","[196.5, 2.0]","[114.0, 3.0]","[122.0, 1.0]","[61.0, 2.0]","[84.5, 1.0]"
2017-05-16,"[258.0, 2.0]","[303.0, 2.0]","[156.0, 3.0]","[153.0, 1.0]","[214.0, 1.0]",,"[46.0, 1.0]","[231.0, 2.0]","[295.0, 2.0]","[287.5, 1.0]","[232.5, 2.0]","[198.0, 2.0]","[115.0, 3.0]","[121.0, 1.0]","[62.0, 2.0]","[85.0, 1.0]"
2017-05-17,"[259.5, 2.0]","[304.0, 2.0]","[157.5, 3.0]","[154.0, 1.0]","[215.0, 1.0]",,"[47.0, 1.0]","[232.0, 2.0]","[296.0, 2.0]","[288.5, 1.0]","[233.5, 2.0]","[198.5, 2.0]","[116.0, 3.0]","[122.0, 1.0]","[60.0, 2.0]","[86.5, 1.0]"
2017-05-18,"[260.0, 2.0]","[305.0, 2.0]","[158.0, 3.0]","[155.0, 1.0]","[216.0, 1.0]",,"[47.5, 1.0]","[233.0, 2.0]","[297.0, 2.0]","[289.5, 1.0]","[238.5, 2.0]","[200.0, 2.0]","[117.0, 3.0]","[123.0, 1.0]","[60.5, 2.0]","[87.5, 1.0]"
2017-05-19,"[263.0, 2.0]","[306.0, 2.0]","[159.5, 3.0]","[156.0, 1.0]","[217.0, 1.0]",,"[48.5, 1.0]","[234.0, 2.0]","[298.5, 2.0]","[290.5, 1.0]","[239.5, 2.0]","[195.0, 2.0]","[118.5, 3.0]","[123.5, 1.0]","[61.0, 2.0]","[88.5, 1.0]"
2017-05-20,"[264.5, 2.0]","[307.0, 2.0]","[160.0, 3.0]","[156.5, 1.0]","[218.5, 1.0]",,"[48.0, 1.0]","[235.0, 2.0]","[312.0, 2.0]","[291.5, 1.0]","[240.5, 2.0]","[196.0, 2.0]","[120.0, 3.0]","[125.0, 1.0]","[60.5, 2.0]","[89.5, 1.0]"
2017-05-21,"[267.0, 2.0]","[308.0, 2.0]","[161.0, 3.0]","[157.5, 1.0]","[219.5, 1.0]",,"[49.0, 1.0]","[236.0, 2.0]","[313.0, 2.0]","[293.0, 1.0]","[241.5, 2.0]","[198.5, 2.0]","[121.0, 3.0]","[126.0, 1.0]","[61.5, 2.0]","[90.5, 1.0]"
2017-05-22,"[268.0, 2.0]","[309.0, 2.0]","[162.0, 3.0]","[159.0, 1.0]","[221.0, 1.0]",,"[49.0, 1.0]","[237.0, 2.0]","[314.0, 2.0]","[296.5, 2.0]","[239.0, 2.0]","[201.0, 2.0]","[123.0, 3.0]","[127.0, 1.0]","[61.5, 2.0]","[91.5, 1.0]"
2017-05-23,"[270.0, 2.0]","[310.0, 2.0]","[163.0, 3.0]","[160.0, 1.0]","[222.0, 1.0]",,"[51.0, 1.0]","[238.0, 2.0]","[303.0, 2.0]","[297.5, 2.0]","[247.0, 2.0]","[205.0, 2.0]","[124.0, 3.0]","[128.0, 1.0]","[63.0, 2.0]","[92.5, 1.0]"
2017-05-24,"[271.5, 2.0]","[311.0, 2.0]","[164.5, 3.0]","[161.0, 1.0]","[222.5, 1.0]",,"[51.0, 1.0]","[239.0, 2.0]","[310.0, 2.0]","[298.5, 2.0]","[248.0, 2.0]","[206.0, 2.0]","[125.0, 3.0]","[129.0, 1.0]","[64.0, 2.0]","[93.5, 1.0]"
2017-05-25,"[272.5, 2.0]","[312.5, 2.0]","[165.5, 3.0]","[162.0, 1.0]","[223.5, 1.0]",,"[52.0, 1.0]","[240.0, 2.0]","[311.0, 2.0]","[299.5, 2.0]","[249.0, 2.0]","[206.0, 2.0]","[126.0, 3.0]","[130.0, 1.0]","[65.0, 2.0]","[94.5, 1.0]"
2017-05-26,"[273.5, 2.0]","[313.5, 2.0]","[166.5, 3.0]","[163.0, 1.0]","[224.5, 1.0]",,"[51.5, 1.0]","[241.0, 2.0]","[312.0, 2.0]","[300.5, 2.0]","[250.0, 2.0]","[207.0, 2.0]","[127.0, 3.0]","[131.0, 1.0]","[65.0, 2.0]","[95.5, 1.0]"
2017-05-27,"[274.5, 2.0]","[314.5, 2.0]","[167.5, 3.0]","[164.0, 1.0]","[225.5, 1.0]",,"[52.5, 1.0]","[242.0, 2.0]","[313.0, 2.0]","[301.5, 2.0]","[251.0, 2.0]","[208.0, 2.0]","[128.0, 3.0]","[132.0, 1.0]","[66.0, 2.0]","[96.5, 1.0]"
2017-05-28,"[276.0, 2.0]","[315.5, 2.0]","[168.5, 3.0]","[165.0, 1.0]","[226.0, 1.0]",,"[54.0, 1.0]","[243.0, 2.0]","[321.5, 2.0]","[298.0, 2.0]","[252.0, 2.0]","[208.0, 2.0]","[129.0, 3.0]","[133.0, 1.0]","[67.0, 2.0]","[98.0, 1.0]"
2017-05-29,"[277.0, 2.0]","[316.5, 2.0]","[171.0, 3.0]","[164.0, 1.0]","[227.0, 1.0]",,"[54.0, 1.0]","[244.0, 2.0]","[322.5, 2.0]","[299.0, 2.0]","[253.0, 2.0]","[208.0, 2.0]","[130.0, 3.0]","[134.0, 1.0]","[67.0, 2.0]","[99.0, 1.0]"
2017-05-30,"[281.0, 1.0]","[317.0, 2.0]","[172.0, 3.0]","[165.0, 1.0]","[228.0, 1.0]",,"[55.0, 1.0]","[245.0, 2.0]","[323.5, 2.0]","[301.5, 2.0]","[254.0, 2.0]","[207.5, 2.0]","[131.0, 3.0]","[135.0, 1.0]","[68.0, 2.0]","[100.0, 1.0]"
2017-05-31,"[277.5, 1.0]","[318.0, 2.0]","[175.5, 3.0]","[166.0, 1.0]","[229.0, 1.0]","[17.0, 1.0]","[56.0, 1.0]","[246.0, 2.0]","[324.5, 2.0]","[292.0, 1.0]","[247.5, 2.0]","[208.5, 2.0]","[132.0, 3.0]","[136.0, 1.0]","[69.0, 2.0]","[101.0, 1.0]"
2017-06-01,"[278.5, 1.0]","[320.0, 2.0]","[176.5, 3.0]","[169.0, 1.0]","[231.5, 1.0]","[18.0, 1.0]","[57.0, 1.0]","[247.0, 2.0]","[325.5, 2.0]","[293.0, 1.0]","[nan, nan]","[211.0, 2.0]","[133.0, 3.0]","[137.0, 1.0]","[70.0, 2.0]","[102.0, 1.0]"
2017-06-02,"[279.5, 1.0]","[321.0, 2.0]","[176.5, 3.0]","[170.0, 1.0]","[232.5, 1.0]","[19.0, 1.0]","[58.0, 1.0]","[248.0, 2.0]","[326.5, 2.0]","[294.0, 1.0]","[nan, nan]","[212.0, 2.0]","[134.0, 3.0]","[138.0, 1.0]","[71.0, 2.0]","[103.0, 1.0]"
2017-06-03,"[279.0, 1.0]","[322.0, 2.0]","[177.5, 3.0]","[171.0, 1.0]","[233.5, 1.0]","[20.0, 1.0]","[59.0, 1.0]","[249.0, 2.0]","[327.5, 2.0]","[295.0, 1.0]","[nan, nan]","[213.0, 2.0]","[135.0, 3.0]","[139.0, 1.0]","[72.0, 2.0]","[104.0, 1.0]"
2017-06-04,"[280.0, 1.0]","[323.0, 2.0]","[178.5, 3.0]","[172.0, 1.0]","[234.5, 1.0]","[21.0, 1.0]","[60.0, 1.0]","[250.0, 2.0]","[330.5, 2.0]","[296.0, 1.0]","[nan, nan]","[212.5, 2.0]","[136.0, 3.0]","[140.0, 1.0]","[73.0, 2.0]","[105.0, 1.0]"
2017-06-05,"[282.5, 1.0]","[324.0, 2.0]","[179.5, 3.0]","[173.0, 1.0]","[235.5, 1.0]","[22.0, 1.0]","[61.0, 1.0]","[251.0, 2.0]","[331.5, 2.0]","[297.0, 1.0]","[nan, nan]","[216.0, 2.0]","[136.5, 3.0]","[141.0, 1.0]","[74.0, 2.0]","[106.0, 1.0]"
2017-06-06,"[283.5, 1.0]","[325.0, 2.0]","[180.5, 3.0]","[174.0, 1.0]","[236.5, 1.0]","[21.0, 1.0]","[62.0, 1.0]","[252.0, 2.0]","[332.5, 2.0]","[298.0, 1.0]","[nan, nan]","[217.0, 2.0]","[137.5, 3.0]","[142.0, 1.0]","[75.0, 2.0]","[107.0, 1.0]"
2017-06-07,"[283.0, 1.0]","[326.0, 2.0]","[181.5, 3.0]","[175.0, 1.0]","[238.0, 1.0]","[22.0, 1.0]","[63.0, 1.0]","[253.0, 2.0]","[333.0, 2.0]","[299.0, 1.0]","[nan, nan]","[219.0, 2.0]","[138.0, 3.0]","[143.0, 1.0]","[76.0, 2.0]","[108.0, 1.0]"
2017-06-08,"[284.0, 1.5]","[327.0, 2.0]","[182.5, 3.0]","[176.0, 1.0]","[239.0, 1.0]","[20.0, 1.0]","[64.0, 1.0]","[257.0, 2.0]","[334.0, 2.0]","[300.0, 1.0]","[nan, nan]","[220.0, 2.0]","[139.0, 3.0]","[144.0, 1.0]","[77.0, 2.0]","[109.0, 1.0]"
2017-06-09,"[285.0, 1.5]","[328.0, 2.0]","[183.5, 3.0]","[177.0, 1.0]","[240.0, 1.0]","[21.0, 1.0]","[65.0, 1.0]","[258.0, 2.0]","[333.5, 2.0]","[301.0, 1.0]","[nan, nan]","[220.0, 2.0]","[140.5, 3.0]","[145.0, 1.0]","[78.0, 2.0]","[110.0, 1.0]"
2017-06-10,"[286.0, 1.5]","[330.0, 2.0]","[184.5, 3.0]","[178.0, 1.0]","[241.0, 1.0]","[20.5, 1.0]","[66.0, 1.0]","[259.0, 2.0]","[334.5, 2.0]","[300.5, 1.0]","[nan, nan]","[220.0, 2.0]","[141.5, 3.0]","[146.0, 1.0]","[79.0, 2.0]","[111.0, 1.0]"
2017-06-11,"[287.0, 2.0]","[335.0, 2.0]","[186.5, 3.0]","[179.0, 1.0]","[242.0, 1.0]","[22.0, 1.0]","[67.0, 1.0]","[260.0, 2.0]","[328.0, 2.0]","[301.0, 1.0]","[222.0, 2.0]","[nan, nan]","[143.0, 3.0]","[147.0, 1.0]","[80.0, 2.0]","[112.0, 1.0]"
2017-06-12,"[288.0, 2.0]","[336.0, 2.0]","[187.5, 3.0]","[181.0, 1.0]","[243.0, 1.0]","[23.0, 1.0]","[68.0, 1.0]","[261.0, 2.0]","[335.0, 2.0]","[302.5, 1.0]","[206.0, 2.0]","[nan, nan]","[144.0, 3.0]","[148.0, 1.0]","[81.0, 2.0]","[113.0, 1.0]"
2017-06-13,"[287.0, 2.0]","[337.0, 2.0]","[189.0, 3.0]","[184.0, 1.0]","[244.0, 1.0]","[23.0, 1.0]","[69.0, 1.0]","[262.0, 2.0]","[337.5, 2.0]","[304.0, 1.0]","[203.0, 2.0]","[nan, nan]","[145.0, 3.0]","[149.0, 1.0]","[82.0, 2.0]","[114.0, 1.0]"
2017-06-14,"[286.0, 2.0]","[336.0, 2.0]","[190.0, 3.0]","[185.0, 1.0]","[245.0, 1.0]","[24.0, 1.0]","[70.0, 1.0]","[263.0, 2.0]","[340.0, 2.0]","[286.0, 1.0]","[196.5, 2.0]","[nan, nan]","[146.0, 3.0]","[150.0, 1.0]","[83.0, 2.0]","[115.0, 1.0]"
2017-06-15,"[287.0, 2.0]","[335.0, 2.0]","[191.0, 3.0]","[186.0, 1.0]","[246.0, 1.0]","[25.0, 1.0]","[71.0, 1.0]","[264.0, 2.0]","[339.5, 2.0]","[284.0, 1.0]","[197.5, 2.0]","[nan, nan]","[147.0, 3.0]","[151.0, 1.0]","[84.0, 2.0]","[116.0, 1.0]"
2017-06-16,"[278.5, 2.0]","[336.0, 2.0]","[193.0, 3.0]","[187.0, 1.0]","[243.0, 1.0]","[26.0, 1.0]","[72.0, 1.0]","[263.5, 2.5]","[325.5, 2.0]","[285.0, 1.0]","[198.0, 2.0]","[nan, nan]","[146.5, 3.0]","[152.0, 1.0]","[84.5, 2.0]","[117.0, 1.0]"
2017-06-17,"[279.5, 2.0]","[337.0, 2.0]","[194.0, 3.0]","[187.0, 1.0]","[244.0, 1.0]","[26.0, 1.0]","[73.0, 1.0]","[264.5, 2.5]","[326.5, 2.0]","[287.0, 1.0]","[196.0, 2.0]","[nan, nan]","[148.0, 3.0]","[153.0, 1.0]","[85.5, 2.0]","[117.5, 1.0]"
2017-06-18,"[287.5, 2.0]","[345.0, 2.0]","[195.5, 3.0]","[188.0, 1.0]","[245.0, 1.0]","[27.0, 1.0]","[74.0, 1.0]","[265.5, 2.5]","[320.0, 2.0]","[288.0, 1.0]","[194.0, 2.0]","[273.5, 1.0]","[145.5, 3.0]","[151.5, 1.0]","[87.0, 2.0]","[118.5, 1.0]"
2017-06-19,"[288.5, 2.0]","[346.0, 2.0]","[196.5, 3.0]","[189.0, 1.0]","[246.0, 1.0]","[27.0, 1.0]","[75.0, 1.0]","[266.5, 2.5]","[321.0, 2.0]","[289.0, 1.0]","[195.0, 2.0]","[274.0, 1.0]","[146.0, 3.0]","[152.5, 1.0]","[88.0, 2.0]","[119.5, 1.0]"
2017-06-20,"[287.0, 2.0]","[347.0, 2.0]","[198.0, 3.0]","[190.0, 1.0]","[247.5, 1.0]","[27.0, 1.0]","[76.0, 1.0]","[267.5, 2.5]","[322.0, 2.0]","[290.0, 1.0]","[191.0, 2.0]","[273.0, 1.0]","[147.0, 3.0]","[153.5, 1.0]","[90.0, 2.0]","[120.0, 1.0]"
2017-06-21,"[288.0, 2.0]","[348.0, 2.0]","[199.0, 3.0]","[191.0, 1.0]","[248.5, 1.0]","[28.0, 1.0]","[77.0, 1.0]","[268.5, 2.5]","[323.0, 2.0]","[285.5, 1.0]","[192.0, 2.0]","[272.0, 1.5]","[148.5, 3.0]","[154.5, 1.0]","[91.0, 2.0]","[121.0, 1.0]"
2017-06-22,"[289.0, 2.0]","[349.0, 2.0]","[200.0, 3.0]","[192.0, 1.0]","[249.5, 1.0]","[29.0, 1.0]","[78.0, 1.0]","[269.5, 2.5]","[324.0, 2.0]","[286.0, 1.0]","[193.0, 2.0]","[273.0, 1.5]","[149.5, 3.0]","[155.5, 1.0]","[92.0, 2.0]","[122.0, 1.0]"
2017-06-23,"[292.5, 2.0]","[350.0, 2.0]","[201.0, 3.0]","[193.0, 1.0]","[251.0, 1.0]","[29.0, 1.0]","[79.0, 1.0]","[270.5, 2.5]","[323.0, 2.0]","[287.0, 1.0]","[194.0, 2.0]","[272.0, 2.0]","[150.5, 3.0]","[156.5, 1.0]","[93.0, 2.0]","[122.5, 1.0]"
2017-06-24,"[293.5, 2.0]","[351.0, 2.0]","[202.0, 3.0]","[194.0, 1.0]","[252.0, 1.0]","[30.0, 1.0]","[80.0, 1.0]","[271.5, 2.5]","[324.0, 2.0]","[288.0, 1.0]","[195.0, 2.0]","[273.0, 2.0]","[151.5, 3.0]","[157.5, 1.0]","[94.0, 2.0]","[123.5, 1.0]"
2017-06-25,"[294.5, 2.0]","[352.0, 2.0]","[203.0, 3.0]","[195.0, 1.0]","[253.5, 1.0]","[31.0, 1.0]","[81.0, 1.0]","[272.5, 2.5]","[325.0, 2.0]","[285.0, 1.0]","[198.5, 2.0]","[274.0, 2.0]","[153.0, 3.0]","[158.5, 1.0]","[95.0, 2.0]","[124.5, 1.0]"
2017-06-26,"[299.0, 2.0]","[353.0, 2.0]","[204.0, 3.0]","[196.0, 1.0]","[254.0, 1.0]","[32.0, 1.0]","[82.0, 1.0]","[265.0, 3.0]","[325.0, 2.0]","[288.0, 1.0]","[199.5, 2.0]","[271.5, 2.0]","[154.0, 3.0]","[160.0, 1.0]","[96.0, 2.0]","[125.5, 1.0]"
2017-06-27,"[306.0, 2.0]","[383.5, 1.0]","[205.0, 3.0]","[197.0, 1.0]","[255.0, 1.0]","[30.0, 1.0]","[83.0, 1.0]","[269.5, 3.0]","[354.0, 2.0]","[277.5, 2.0]","[200.5, 2.0]","[271.5, 2.0]","[155.0, 3.0]","[161.0, 1.0]","[97.0, 2.0]","[126.5, 1.0]"
2017-06-28,"[307.0, 2.0]","[256.0, 1.0]","[206.0, 3.0]","[198.0, 1.0]",,"[31.0, 1.0]","[84.0, 1.0]","[270.5, 3.0]","[351.0, 2.0]","[298.0, 1.0]","[204.0, 2.0]","[272.5, 2.0]","[156.0, 3.0]","[162.0, 1.0]","[98.0, 2.0]","[127.5, 1.0]"
2017-06-29,"[308.0, 2.0]","[257.0, 1.0]","[207.0, 3.0]","[199.0, 1.0]","[28.0, 3.0]","[35.0, 1.0]","[85.0, 1.0]","[271.5, 3.0]","[352.0, 2.0]","[299.0, 1.0]","[205.0, 2.0]","[273.5, 2.0]","[157.0, 3.0]","[163.0, 1.0]","[99.0, 2.0]","[128.5, 1.0]"
2017-06-30,"[310.0, 2.0]","[258.0, 1.0]","[208.0, 3.0]","[200.0, 1.0]","[29.0, 3.0]","[36.0, 1.0]","[86.0, 1.0]","[272.5, 3.0]","[353.0, 2.0]","[300.0, 1.0]","[208.5, 2.0]","[274.5, 2.0]","[158.0, 3.0]","[164.0, 1.0]","[100.0, 2.0]","[129.5, 1.0]"
2017-07-01,"[311.0, 2.0]","[259.0, 1.0]","[209.0, 3.0]","[201.0, 1.0]","[27.5, 3.0]","[33.0, 1.0]","[87.0, 1.0]","[277.0, 3.0]","[354.0, 2.0]","[310.0, 1.0]","[202.0, 2.0]","[273.5, 2.0]","[158.5, 3.0]","[165.0, 1.0]","[101.0, 2.0]","[130.5, 1.0]"
2017-07-02,"[310.0, 2.0]","[260.0, 1.0]","[210.0, 3.0]","[202.0, 1.0]","[29.0, 3.0]","[35.0, 1.0]","[88.0, 1.0]","[278.0, 3.0]","[341.0, 2.0]","[311.0, 1.0]","[203.0, 2.0]","[274.0, 2.0]","[159.5, 3.0]","[166.0, 1.0]","[102.0, 2.0]","[131.5, 1.0]"
2017-07-03,"[310.0, 2.0]","[261.0, 1.0]","[211.0, 3.0]","[203.0, 1.0]","[25.0, 3.0]","[37.0, 1.0]","[89.0, 1.0]","[279.0, 3.0]","[342.0, 2.0]","[312.0, 1.0]","[204.0, 2.0]","[275.5, 2.0]","[160.5, 3.0]","[167.0, 1.0]","[103.0, 2.0]","[132.5, 1.0]"
2017-07-04,"[311.0, 2.0]","[261.5, 1.0]","[212.0, 3.0]","[203.0, 1.0]","[26.0, 3.0]","[38.0, 1.0]","[90.0, 1.0]","[280.0, 3.0]","[343.0, 2.0]","[313.0, 1.0]","[205.0, 2.0]","[276.5, 2.0]","[161.5, 3.0]","[168.0, 1.0]","[104.0, 2.0]","[133.5, 1.0]"
2017-07-05,"[310.5, 2.0]","[262.5, 1.0]","[213.0, 3.0]","[204.0, 1.0]","[24.0, 3.0]","[36.0, 1.0]","[91.0, 1.0]","[281.0, 3.0]","[344.0, 2.0]","[314.0, 1.0]","[206.0, 2.0]","[277.5, 2.0]","[162.5, 3.0]","[168.5, 1.0]","[105.0, 2.0]","[134.0, 1.0]"
2017-07-06,"[309.0, 2.0]","[263.0, 1.0]","[214.0, 3.0]","[205.0, 1.0]","[25.0, 3.0]","[37.0, 1.0]","[92.0, 1.0]","[282.0, 2.0]","[346.0, 2.0]","[315.0, 1.0]","[204.0, 2.0]","[276.0, 2.0]","[163.0, 3.0]","[169.5, 1.0]","[106.5, 2.0]","[135.0, 1.0]"
2017-07-07,"[310.0, 2.0]","[264.0, 1.0]","[215.0, 3.0]","[206.0, 1.0]","[26.0, 3.0]","[35.0, 1.0]","[93.0, 1.0]","[283.0, 2.0]","[346.0, 2.0]","[316.0, 1.0]","[205.0, 2.0]","[277.0, 2.0]","[164.0, 3.0]","[170.5, 1.0]","[108.0, 2.0]","[136.0, 1.0]"
2017-07-08,"[311.0, 2.0]","[265.0, 1.0]","[216.0, 3.0]","[206.0, 1.0]","[27.0, 3.0]","[36.0, 1.0]","[94.0, 1.0]","[284.0, 2.0]","[346.0, 2.0]","[317.0, 1.0]","[207.0, 2.0]","[278.5, 2.0]","[165.5, 3.0]","[171.5, 1.0]","[109.0, 2.0]","[137.5, 1.0]"
2017-07-09,"[312.0, 2.0]","[262.0, 1.0]","[217.0, 3.0]","[207.0, 1.0]","[28.0, 3.0]","[37.0, 1.0]","[95.0, 1.0]","[285.0, 2.0]","[341.5, 2.0]","[309.0, 1.0]","[209.0, 2.0]","[277.0, 2.0]","[166.5, 3.0]","[172.5, 1.0]","[110.5, 2.0]","[138.5, 1.0]"
2017-07-10,"[314.0, 2.0]","[263.0, 1.0]","[218.0, 3.0]","[208.0, 1.0]","[28.0, 3.0]","[38.0, 1.0]","[96.0, 1.0]","[286.0, 2.0]","[342.5, 2.0]","[310.0, 1.0]","[208.0, 2.0]","[278.0, 2.0]","[169.0, 3.0]","[173.5, 1.0]","[112.5, 2.0]","[139.5, 1.0]"
2017-07-11,"[315.0, 2.0]","[264.0, 1.0]","[219.0, 3.0]","[209.0, 1.0]","[27.0, 3.0]","[37.5, 1.0]","[97.0, 1.0]","[287.0, 2.0]","[345.0, 2.0]","[311.0, 1.0]","[209.0, 2.0]","[279.0, 2.0]","[170.0, 3.0]","[174.5, 1.0]","[113.5, 2.0]","[140.5, 1.0]"
2017-07-12,"[316.0, 2.0]","[265.0, 1.0]","[220.0, 3.0]","[210.0, 1.0]","[28.0, 3.0]","[38.5, 1.0]","[98.0, 1.0]","[288.0, 2.0]","[346.0, 2.0]","[312.0, 1.0]","[204.0, 2.0]","[279.0, 2.0]","[171.0, 3.0]","[175.5, 1.0]","[114.5, 2.0]","[141.5, 1.0]"
2017-07-13,"[316.0, 2.0]","[265.5, 1.0]","[221.0, 3.0]","[211.0, 1.0]","[28.0, 3.0]","[38.0, 1.0]","[99.0, 1.0]","[289.0, 2.0]","[343.0, 2.0]","[312.0, 1.0]","[214.0, 3.0]","[277.0, 2.0]","[172.0, 3.0]","[176.5, 1.0]","[115.0, 2.0]","[141.5, 1.0]"
2017-07-14,"[317.0, 2.0]","[266.5, 1.0]","[222.0, 3.0]","[212.0, 1.0]","[29.0, 3.0]","[39.0, 1.0]","[100.0, 1.0]","[290.0, 2.0]","[344.0, 2.0]","[313.0, 1.0]","[215.0, 3.0]","[278.0, 2.0]","[173.0, 3.0]","[178.0, 1.0]","[116.0, 2.0]","[142.5, 1.0]"
2017-07-15,"[319.0, 2.0]","[267.0, 1.0]","[223.0, 3.0]","[213.0, 1.0]","[30.0, 3.0]","[39.5, 1.0]","[101.0, 1.0]","[291.0, 2.0]","[345.5, 2.0]","[315.0, 1.0]","[216.0, 3.0]","[279.0, 2.0]","[174.0, 3.0]","[179.0, 1.0]","[117.0, 2.0]","[143.5, 1.0]"
2017-07-16,"[319.0, 2.0]","[267.0, 1.0]","[224.0, 3.0]","[214.0, 1.0]","[31.0, 3.0]","[40.0, 1.0]","[102.0, 1.0]","[292.0, 2.0]","[346.5, 2.0]","[316.0, 1.0]","[217.0, 3.0]","[280.0, 2.0]","[175.0, 3.0]","[180.0, 1.0]","[118.0, 2.0]","[144.5, 1.0]"
2017-07-17,"[322.0, 2.0]","[268.0, 1.0]","[225.0, 3.0]","[215.0, 1.0]","[31.0, 3.0]","[40.0, 1.0]","[103.0, 1.0]","[293.0, 2.0]","[347.5, 2.0]","[319.0, 1.0]","[190.0, 2.0]","[278.5, 2.0]","[177.5, 3.0]","[181.0, 1.0]","[117.0, 2.0]","[146.5, 1.0]"
2017-07-18,"[323.5, 2.0]","[269.0, 1.0]","[226.0, 3.0]","[216.0, 1.0]","[32.0, 3.0]","[41.0, 1.0]","[104.0, 1.0]","[294.0, 2.0]","[348.5, 2.0]","[320.0, 1.0]","[204.5, 2.0]","[279.5, 2.0]","[178.5, 3.0]","[182.0, 1.0]","[118.0, 2.0]","[147.5, 1.0]"
2017-07-19,"[324.5, 2.0]","[270.0, 1.0]","[227.0, 3.0]","[217.0, 1.0]","[33.0, 3.0]","[42.0, 1.0]","[105.0, 1.0]","[295.0, 2.0]","[349.5, 2.0]","[321.0, 1.0]","[204.0, 2.0]","[283.0, 2.0]","[180.0, 3.0]","[183.0, 1.0]","[119.0, 2.0]","[148.5, 1.0]"
2017-07-20,"[325.0, 2.0]","[272.0, 1.0]","[228.0, 3.0]","[218.0, 1.0]","[34.0, 3.0]","[42.0, 1.0]","[106.0, 1.0]","[296.0, 2.0]","[350.5, 2.0]","[322.0, 1.0]","[200.5, 2.0]","[284.0, 2.0]","[181.0, 3.0]","[184.0, 1.0]","[120.0, 2.0]","[150.0, 1.0]"
2017-07-21,"[326.0, 2.0]","[273.0, 1.0]","[229.0, 3.0]","[219.0, 1.0]","[35.0, 3.0]","[44.0, 1.0]","[107.0, 1.0]","[297.0, 2.0]","[344.0, 2.0]","[321.0, 1.0]","[212.0, 2.0]","[280.0, 2.0]","[181.0, 3.0]","[185.0, 1.0]","[121.0, 2.0]","[151.0, 1.0]"
2017-07-22,"[327.5, 2.0]","[274.0, 1.0]","[230.0, 3.0]","[220.0, 1.0]","[36.0, 3.0]","[45.0, 1.0]","[108.0, 1.0]","[301.0, 2.0]","[345.0, 2.0]","[322.0, 1.0]","[214.0, 2.0]","[281.0, 2.0]","[182.0, 3.0]","[186.0, 1.0]","[122.0, 2.0]","[152.0, 1.0]"
2017-07-23,"[331.0, 2.0]","[273.0, 1.0]","[231.0, 3.0]","[219.0, 1.0]","[36.0, 3.0]","[44.0, 1.0]","[109.0, 1.0]","[302.0, 2.0]","[341.0, 2.0]","[311.5, 1.0]","[209.5, 2.0]","[282.0, 2.0]","[183.0, 3.0]","[187.5, 1.0]","[123.0, 2.0]","[153.0, 1.0]"
2017-07-24,"[332.0, 2.0]","[274.0, 1.0]","[231.5, 3.0]","[219.5, 1.0]","[37.0, 3.0]","[45.0, 1.0]","[110.0, 1.0]","[303.0, 2.0]","[342.0, 2.0]","[312.5, 1.0]","[210.5, 2.0]","[283.0, 2.0]","[184.0, 3.0]","[188.5, 1.0]","[124.0, 2.0]","[154.0, 1.0]"
