date,cowshed,avg_actual,avg_milk,THI,temp_high,RH,calving_days,calving_indices
2017/7/20,B4-3S,40,25.8,34.9576,32,52,283,2
2017/7/21,B4-3S,38.33333333,25.4,34.9576,32,52,284,2
2017/7/22,B4-3S,36.97478992,24,32.872,NaN,40,280,2
2017/7/23,B4-3S,NaN,23.5,35.284,34,40,281,2
2017/7/24,B4-3S,32.77310924,24,37.696,36,40,282,2
2017/7/25,B4-3S,32.74336283,23.6,38.902,37,40,283,2
2017/7/20,B1-7N,37.5,30,34.9576,32,52,105,1
2017/7/21,B1-7N,36.80555556,29.5,34.9576,32,52,106,1
2017/7/22,B1-7N,35.41666667,28.5,32.872,32,40,107,1
2017/7/23,B1-7N,34.72222222,26.4,35.284,34,40,108,1
2017/7/24,B1-7N,36.80555556,26.9,37.696,36,40,109,1
2017/7/25,B1-7N,,27.5,38.902,37,40,110,1
2017/7/20,B4-5N,43.07692308,30.2,34.9576,32,52,180,3
2017/7/21,B4-5N,41.53846154,31.4,34.9576,32,52,181,3
2017/7/22,B4-5N,37.20930233,28.5,32.872,32,40,181,3
2017/7/23,B4-5N,37.40458015,27.3,35.284,34,40,NaN,3
2017/7/24,B4-5N,38.46153846,NaN,37.696,36,40,183,3
2017/7/25,B4-5N,35.65891473,26.9,38.902,37,40,184,3
2017/7/20,B1-3N,39.71631206,25,34.9576,32,52,227,3
2017/7/21,B1-3N,38.57142857,24.9,34.9576,32,52,228,3
2017/7/22,B1-3N,38.1294964,23.1,32.872,32,40,229,3
2017/7/23,B1-3N,37.41007194,21.6,35.284,34,40,230,3
2017/7/24,B1-3N,36.95652174,21.8,37.696,36,40,231,3
2017/7/25,B1-3N,,21,38.902,37,40,231.5,3
2017/7/20,B1-5N,34.7826087,34.3,34.9576,32,52,33,3
2017/7/21,B1-5N,34.7826087,35,34.9576,32,52,34,3
2017/7/22,B1-5N,32.63157895,33.6,32.872,32,40,35,3
2017/7/23,B1-5N,33.33333333,33,35.284,34,40,36,3
2017/7/24,B1-5N,34.375,32,37.696,36,40,36,3
2017/7/25,B1-5N,30.6122449,32,38.902,37,40,37,3
2017/7/20,B1-1S,39.04761905,26.2,34.9576,32,52,270,1
2017/7/21,B1-1S,40,25.3,34.9576,32,52,272,1
2017/7/22,B1-1S,37.5,24.2,32.872,32,40,273,1
2017/7/23,B1-1S,37.86407767,21.8,35.284,34,40,274,1
2017/7/24,B1-1S,37,22.1,NaN,36,40,273,1
2017/7/25,B1-1S,,23,38.902,37,40,274,1
2017/7/20,B4-3N,36.95652174,21.9,34.9576,32,52,204,2
2017/7/21,B4-3N,36.17021277,21.3,34.9576,32,52,200.5,2
2017/7/22,B4-3N,30.52631579,19.1,32.872,32,40,212,2
2017/7/23,B4-3N,30.58823529,19,35.284,34,40,214,2
2017/7/24,B4-3N,30,18.6,37.696,36,40,209.5,2
2017/7/25,B4-3N,30.26315789,18.8,38.902,37,40,210.5,2
2017/7/20,B1-5S,31.52173913,28.5,34.9576,32,52,42,1
2017/7/21,B1-5S,31.52173913,28.5,34.9576,32,52,42,1
2017/7/22,B1-5S,30.85106383,28.3,32.872,32,40,44,1
2017/7/23,B1-5S,31.1827957,28.3,35.284,34,40,45,1
2017/7/24,B1-5S,32.60869565,27.7,37.696,36,40,44,1
2017/7/25,B1-5S,,27.5,38.902,37,40,45,1
2017/7/20,B1-3S,39.04109589,26.6,34.9576,32,52,217,1
2017/7/21,B1-3S,37.24137931,26.6,34.9576,32,52,218,1
2017/7/22,B1-3S,36.80555556,24.5,32.872,32,40,219,1
2017/7/23,B1-3S,36.55172414,23.8,35.284,34,40,220,1
2017/7/24,B1-3S,34.72222222,23.8,37.696,36,40,219,1
2017/7/25,B1-3S,,16.7,38.902,37,40,219.5,1
2017/7/20,B4-7N,41.60583942,32.7,34.9576,32,52,119,2
2017/7/21,B4-7N,42.33576642,32.1,34.9576,32,52,120,2
2017/7/22,B4-7N,37.95620438,29.9,32.872,32,40,121,2
2017/7/23,B4-7N,38.68613139,29,35.284,34,NaN,122,2
2017/7/24,B4-7N,38.68613139,28.7,37.696,36,NaN,123,2
2017/7/25,B4-7N,,29.8,38.902,37,40,124,2
2017/7/20,B4-5S,29.6,28.6,34.9576,32,52,183,1
2017/7/21,B4-5S,38.4,28,34.9576,32,52,184,1
2017/7/22,B4-5S,37.6,27,32.872,32,40,185,1
2017/7/23,B4-5S,36,26,35.284,34,40,186,1
2017/7/24,B4-5S,36,25.3,37.696,36,40,187.5,1
2017/7/25,B4-5S,,26.3,38.902,37,40,188.5,1
2017/7/20,B1-7S,39.04761905,25.3,34.9576,32,52,295,2
2017/7/21,B1-7S,38.0952381,24.8,34.9576,32,52,296,2
2017/7/22,B1-7S,37.14285714,23.3,32.872,32,40,297,2
2017/7/23,B1-7S,35.23809524,21.8,35.284,34,40,301,2
2017/7/24,B1-7S,36.19047619,22.6,37.696,36,40,302,2
2017/7/25,B1-7S,,23.3,38.902,37,40,303,2